gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
LIMCH1	pfc	neuron	gw22	0.41883	0	0.268	1.59955	0.715	0.447	0.26184
SHTN1	pfc	neuron	gw22	0.40121	0	0.26	1.46679	0.817	0.557	0.27353
C9orf16	pfc	neuron	gw22	0.39215	0	0.259	1.52429	0.753	0.494	0.25727
CSRP2	pfc	neuron	gw22	0.38773	0	0.135	1.16504	0.953	0.818	0.3328
NCAM1	pfc	neuron	gw22	0.38371	0	0.258	1.45343	0.827	0.569	0.264
MT-ND1	pfc	neuron	gw22	0.37337	0	0.052	1.0552	0.994	0.942	0.35383
MT-ND2	pfc	neuron	gw22	0.3525	0	0.039	1.04075	0.996	0.957	0.3387
CD24	pfc	neuron	gw22	0.33991	0	0.131	1.15745	0.963	0.832	0.29367
STMN2	pfc	neuron	gw22	0.33747	0	0.001	1.001	0.999	0.998	0.33713
TUBB2B	pfc	neuron	gw22	0.33087	0	0.002	1.002	1	0.998	0.33021
EEF1A1	pfc	neuron	gw22	0.30539	0	0	1	0.999	0.999	0.30539
RTN1	pfc	neuron	gw22	0.2762	0	0.062	1.06732	0.983	0.921	0.25878
ATP5I	pfc	neuron	gw22t	1.55954	1.7e-4	0.166	1.19904	1	0.834	1.30065
CNOT7	pfc	neuron	gw22t	1.48894	0.03944	0.315	1.66038	0.792	0.477	0.89675
UQCR10	pfc	neuron	gw22t	1.39736	3e-5	0.151	1.18711	0.958	0.807	1.1771
ARL6IP1	pfc	neuron	gw22t	1.26931	0.04258	0.115	1.1811	0.75	0.635	1.07468
NDUFA1	pfc	neuron	gw22t	1.19743	0.0037200000000000002	0.185	1.26812	0.875	0.69	0.94426
MYEOV2	pfc	neuron	gw22t	1.02263	5.8e-4	-0.017	0.97655	0.708	0.725	1.04719
SLIRP	pfc	neuron	gw22t	0.96052	0.00156	0.02	1.03091	0.667	0.647	0.93172
NDUFA4	pfc	neuron	gw22t	0.6435	0.01636	-0.093	0.90393	0.875	0.968	0.71189
COX6B1	pfc	neuron	gw22t	0.6407	2.3e-4	-0.141	0.8255	0.667	0.808	0.77614
NDUFB4	pfc	neuron	gw22t	0.38549	0.03218	-0.259	0.63877	0.458	0.717	0.60348
SUMO1	pfc	neuron	gw22t	0.35368	0.0141	-0.206	0.7246	0.542	0.748	0.48811
RPRM	pfc	neuron	gw25	2.04972	0	0.387	2.6125	0.627	0.24	0.78458
SRM	pfc	neuron	gw25	1.33406	0	0.224	1.67066	0.558	0.334	0.79852
CSRP2	pfc	neuron	gw25	1.30811	0	0.184	1.24566	0.933	0.749	1.05013
LMO3	pfc	neuron	gw25	0.89379	0	0.331	2.28794	0.588	0.257	0.39065
LIMCH1	pfc	neuron	gw25	0.85222	0	0.201	1.59644	0.538	0.337	0.53383
RAC3	pfc	neuron	gw25	0.74147	0	0.227	1.43654	0.747	0.52	0.51615
YWHAH	pfc	neuron	gw25	0.61859	0	0.178	1.26848	0.841	0.663	0.48766
SCOC	pfc	neuron	gw25	0.59887	0	0.164	1.40898	0.565	0.401	0.42504
TMEM14A	pfc	neuron	gw25	0.57131	0	0.154	1.29389	0.678	0.524	0.44154
AK1	pfc	neuron	gw25	0.56514	0	0.185	1.45122	0.595	0.41	0.38942
TTC9B	pfc	neuron	gw25	0.55449	0	0.189	1.35393	0.723	0.534	0.40954
ACAT2	pfc	neuron	gw25	0.53723	0	0.171	1.33398	0.683	0.512	0.40273
FKBP1A	pfc	neuron	gw25	0.53703	0	0.179	1.32545	0.729	0.55	0.40517
GUK1	pfc	neuron	gw25	0.53268	0	0.191	1.3511	0.735	0.544	0.39425
NNAT	pfc	neuron	gw25	0.53126	0	0.118	1.14461	0.934	0.816	0.46414
RUNX1T1	pfc	neuron	gw25	0.52166	0	0.193	1.62058	0.504	0.311	0.3219
SRI	pfc	neuron	gw25	0.51991	0	0.166	1.39059	0.591	0.425	0.37388
CALM2	pfc	neuron	gw25	0.48383	0	0.019	1.01945	0.996	0.977	0.4746
GAP43	pfc	neuron	gw25	0.4821	0	0.055	1.05998	0.972	0.917	0.45482
RHEB	pfc	neuron	gw25	0.48192	0	0.163	1.31528	0.68	0.517	0.3664
ZNF706	pfc	neuron	gw25	0.47568	0	0.161	1.37182	0.594	0.433	0.34675
PIN1	pfc	neuron	gw25	0.46424	0	0.152	1.39276	0.539	0.387	0.33332
COA3	pfc	neuron	gw25	0.45945	0	0.163	1.39467	0.576	0.413	0.32943
DUT	pfc	neuron	gw25	0.45604	0	0.146	1.40782	0.504	0.358	0.32393
TAF9	pfc	neuron	gw25	0.45602	0	0.16	1.39506	0.565	0.405	0.32688
SUMO1	pfc	neuron	gw25	0.4429	0	0.134	1.1997	0.805	0.671	0.36918
UBB	pfc	neuron	gw25	0.44232	0	0.061	1.06703	0.971	0.91	0.41453
ARPC2	pfc	neuron	gw25	0.43775	0	0.134	1.19911	0.807	0.673	0.36507
FTH1	pfc	neuron	gw25	0.43676	0	0.005	1.00503	0.999	0.994	0.43457
FDPS	pfc	neuron	gw25	0.43584	0	0.161	1.35307	0.617	0.456	0.32211
MLLT11	pfc	neuron	gw25	0.43447	0	0.032	1.03344	0.989	0.957	0.42041
HMGN3	pfc	neuron	gw25	0.43294	0	0.164	1.40695	0.567	0.403	0.30771
FGF12	pfc	neuron	gw25	0.42782	0	0.162	1.3932	0.574	0.412	0.30708
RPS2	pfc	neuron	gw25	0.42681	0	0.013	1.01322	0.996	0.983	0.42124
UBE2E3	pfc	neuron	gw25	0.42485	0	0.147	1.2663	0.699	0.552	0.3355
COX7A2L	pfc	neuron	gw25	0.41563	0	0.147	1.2588	0.715	0.568	0.33018
DYNLL1	pfc	neuron	gw25	0.41424	0	0.047	1.05011	0.985	0.938	0.39447
SH3BGRL3	pfc	neuron	gw25	0.41387	0	0.142	1.3807	0.515	0.373	0.29975
AP1S1	pfc	neuron	gw25	0.41238	0	0.157	1.33909	0.62	0.463	0.30796
ARPC5	pfc	neuron	gw25	0.41184	0	0.128	1.1768	0.852	0.724	0.34997
SYT4	pfc	neuron	gw25	0.41145	0	0.165	1.40049	0.577	0.412	0.29379
STMN1	pfc	neuron	gw25	0.40878	0	0.001	1.001	1	0.999	0.40837
PRDX2	pfc	neuron	gw25	0.40468	0	0.116	1.14929	0.893	0.777	0.35211
NDUFA5	pfc	neuron	gw25	0.40422	0	0.132	1.20433	0.778	0.646	0.33564
PSMB5	pfc	neuron	gw25	0.40328	0	0.145	1.22621	0.786	0.641	0.32889
LMO4	pfc	neuron	gw25	0.40294	0	0.168	1.28718	0.753	0.585	0.31304
PCSK1N	pfc	neuron	gw25	0.40257	0	0.102	1.12531	0.916	0.814	0.35774
HMP19	pfc	neuron	gw25	0.40148	0	0.178	1.319	0.736	0.558	0.30438
AP2S1	pfc	neuron	gw25	0.39648	0	0.144	1.3318	0.578	0.434	0.29771
AP2M1	pfc	neuron	gw25	0.39483	0	0.133	1.2062	0.778	0.645	0.32733
ARF5	pfc	neuron	gw25	0.39454	0	0.144	1.32143	0.592	0.448	0.29857
ATP6V0B	pfc	neuron	gw25	0.39108	0	0.151	1.24714	0.762	0.611	0.31358
DCTN3	pfc	neuron	gw25	0.39095	0	0.151	1.24121	0.777	0.626	0.31497000000000003
ARL6IP1	pfc	neuron	gw25	0.38878	0	0.137	1.23459	0.721	0.584	0.3149
GPX4	pfc	neuron	gw25	0.38812	0	0.142	1.24109	0.731	0.589	0.31272
GHITM	pfc	neuron	gw25	0.38796	0	0.133	1.33333	0.532	0.399	0.29097
PARK7	pfc	neuron	gw25	0.38762	0	0.138	1.19913	0.831	0.693	0.32325
ATAT1	pfc	neuron	gw25	0.38612	0	0.143	1.2693	0.674	0.531	0.3042
TUBB2A	pfc	neuron	gw25	0.38095	0	0.047	1.05	0.987	0.94	0.36281
TPI1	pfc	neuron	gw25	0.3785	0	0.148	1.24342	0.756	0.608	0.30441
COPE	pfc	neuron	gw25	0.37448	0	0.139	1.24429	0.708	0.569	0.30096
BEX5	pfc	neuron	gw25	0.37375	0	0.149	1.3599	0.563	0.414	0.27483
VPS29	pfc	neuron	gw25	0.37246	0	0.134	1.25283	0.664	0.53	0.2973
NDUFV2	pfc	neuron	gw25	0.36851	0	0.13	1.325	0.53	0.4	0.27812
WRB	pfc	neuron	gw25	0.36361	0	0.132	1.31429	0.552	0.42	0.27666
CCDC90B	pfc	neuron	gw25	0.36279	0	0.136	1.30839	0.577	0.441	0.27728
UBE2V2	pfc	neuron	gw25	0.36105	0	0.137	1.22795	0.738	0.601	0.29402
UFC1	pfc	neuron	gw25	0.36053	0	0.145	1.33181	0.582	0.437	0.2707
RAB11A	pfc	neuron	gw25	0.35728	0	0.131	1.29705	0.572	0.441	0.27546
VAMP2	pfc	neuron	gw25	0.35653	0	0.088	1.10719	0.909	0.821	0.32202
C19orf43	pfc	neuron	gw25	0.3552	0	0.124	1.20097	0.741	0.617	0.29576
DNAJB6	pfc	neuron	gw25	0.35497	0	0.117	1.15621	0.866	0.749	0.30702
C3orf14	pfc	neuron	gw25	0.3539	0	0.123	1.29009	0.547	0.424	0.27432
NDFIP1	pfc	neuron	gw25	0.35324	0	0.127	1.22125	0.701	0.574	0.28924
GABARAPL2	pfc	neuron	gw25	0.35143	0	0.121	1.17236	0.823	0.702	0.29976
SNCA	pfc	neuron	gw25	0.34728	7.2e-4	0.116	1.25439	0.572	0.456	0.27685
UCHL1	pfc	neuron	gw25	0.34611	0	0.043	1.04705	0.957	0.914	0.33055
SNAP25	pfc	neuron	gw25	0.34594	0	0.133	1.32282	0.545	0.412	0.26152
PGM2L1	pfc	neuron	gw25	0.34345	0	0.138	1.32624	0.561	0.423	0.25897
PSMB6	pfc	neuron	gw25	0.34287	0	0.135	1.27495	0.626	0.491	0.26893
COTL1	pfc	neuron	gw25	0.34124	0	0.135	1.34177	0.53	0.395	0.25432
SNX3	pfc	neuron	gw25	0.34057	0	0.118	1.26517	0.563	0.445	0.26919
FTL	pfc	neuron	gw25	0.33731	0	0.028	1.02908	0.991	0.963	0.32778
MAP1LC3A	pfc	neuron	gw25	0.32962	0	0.132	1.24132	0.679	0.547	0.26554
SUB1	pfc	neuron	gw25	0.32841	0	0.107	1.14923	0.824	0.717	0.28577
MYL12B	pfc	neuron	gw25	0.32733	0	0.123	1.17904	0.81	0.687	0.27762
SKP1	pfc	neuron	gw25	0.3244	0	0.059	1.06505	0.966	0.907	0.30458
SRP9	pfc	neuron	gw25	0.32416	0	0.115	1.16912	0.795	0.68	0.27727
STMN4	pfc	neuron	gw25	0.32333	0	0.081	1.09496	0.934	0.853	0.29529
CUTA	pfc	neuron	gw25	0.32247	0	0.125	1.22894	0.671	0.546	0.2624
PEBP1	pfc	neuron	gw25	0.32209	0	0.037	1.03924	0.98	0.943	0.30993
EIF4E	pfc	neuron	gw25	0.3198	0	0.109	1.26014	0.528	0.419	0.25378
RAB1A	pfc	neuron	gw25	0.31494	0	0.124	1.25833	0.604	0.48	0.25028
MEAF6	pfc	neuron	gw25	0.31267	0	0.111	1.23125	0.591	0.48	0.25395
GNG3	pfc	neuron	gw25	0.31145	0	0.125	1.22523	0.68	0.555	0.2542
BEX4	pfc	neuron	gw25	0.31002	0	0.112	1.16279	0.8	0.688	0.26662
SEPW1	pfc	neuron	gw25	0.31	0	0.129	1.20942	0.745	0.616	0.25632
LY6H	pfc	neuron	gw25	0.30772	0	0.132	1.2129	0.752	0.62	0.2537
TUBA1A	pfc	neuron	gw25	0.30596	0	0	1	1	1	0.30596
TBCB	pfc	neuron	gw25	0.30538	0	0.093	1.11654	0.891	0.798	0.27351
NSG1	pfc	neuron	gw25	0.30428	0	0.096	1.13913	0.786	0.69	0.26712
RAN	pfc	neuron	gw25	0.29678	0	0.113	1.18022	0.74	0.627	0.25146
YWHAQ	pfc	neuron	gw25	0.29446	0	0.081	1.09736	0.913	0.832	0.26833
DSTN	pfc	neuron	gw25	0.29014	0	0.092	1.11529	0.89	0.798	0.26015
STMN2	pfc	neuron	gw25	0.28998	0	-0.001	0.999	0.997	0.998	0.29028
MARCKSL1	pfc	neuron	gw25	0.28246	0	0.007	1.00708	0.996	0.989	0.28047
ZNF428	pfc	neuron	gw25	0.27886	0	0.085	1.10143	0.923	0.838	0.25318
YBX1	pfc	neuron	gw25	0.27538	0	0.011	1.01113	0.999	0.988	0.27235
TUBB	pfc	neuron	gw25	0.26941	0	0.001	1.001	0.997	0.996	0.26914
HN1	pfc	neuron	gw25	0.26136	0	0.034	1.0366	0.963	0.929	0.25213
TUBB2B	pfc	neuron	gw25	0.25477	0	0.003	1.00301	0.999	0.996	0.25401
LAMP5	pfc	rg	gw16	1.90992	0	0.351	2.10377	0.669	0.318	0.90785
S100A13	pfc	rg	gw16	1.28649	0	0.241	1.87956	0.515	0.274	0.68446
HES4	pfc	rg	gw16	0.89585	0	0.156	1.26263	0.75	0.594	0.70951
STMN2	pfc	rg	gw16	0.5612	0	0.049	1.09742	0.552	0.503	0.51139
MT-CO2	pfc	rg	gw16	0.55928	0	0.007	1.00708	0.996	0.989	0.55535
HIST1H4C	pfc	rg	gw16	0.50542	0	0.009	1.01172	0.777	0.768	0.49956
HOPX	pfc	rg	gw16	0.50508	0	0.077	1.09613	0.878	0.801	0.46079
FTH1	pfc	rg	gw16	0.47145	0	0	1	1	1	0.47145
NRXN1	pfc	rg	gw16	0.47051	0	0.1	1.14306	0.799	0.699	0.41162
FABP7	pfc	rg	gw16	0.45923	0	0.001	1.001	0.999	0.998	0.45877
HINT1	pfc	rg	gw16	0.43998	0	0.002	1.00203	0.986	0.984	0.43908
CD99	pfc	rg	gw16	0.43665	0	0.025	1.03027	0.851	0.826	0.42382
MT-ND3	pfc	rg	gw16	0.40415	0	0.008	1.00818	0.986	0.978	0.40087
FTL	pfc	rg	gw16	0.39233	0	0.003	1.00305	0.988	0.985	0.39114
H3F3B	pfc	rg	gw16	0.38923	0	0.006	1.00609	0.992	0.986	0.38688
RPS4Y1	pfc	rg	gw16	0.38794	0	0.012	1.01277	0.952	0.94	0.38305
GAPDH	pfc	rg	gw16	0.38439	0	0	1	0.999	0.999	0.38439
ACTB	pfc	rg	gw16	0.38073	0	0.001	1.001	1	0.999	0.38035
C4orf48	pfc	rg	gw16	0.37762	0	0.074	1.10835	0.757	0.683	0.34071
ALKBH7	pfc	rg	gw16	0.36984	0	0.033	1.0532300000000001	0.653	0.62	0.35115
MALAT1	pfc	rg	gw16	0.36845	0	0.024	1.02459	1	0.976	0.3596
MT-CYB	pfc	rg	gw16	0.36788	0	0.005	1.00506	0.994	0.989	0.36603
ATP6V1G1	pfc	rg	gw16	0.36655	0	0.009	1.01001	0.908	0.899	0.36292
RPL11	pfc	rg	gw16	0.36528	0	0.001	1.001	1	0.999	0.36491
HIGD2A	pfc	rg	gw16	0.3561	0	0.03	1.04942	0.637	0.607	0.33933
RPL6	pfc	rg	gw16	0.35513	0	0	1	1	1	0.35513
CSRP2	pfc	rg	gw16	0.35357	0	0.007	1.00949	0.745	0.738	0.35025
H1FX	pfc	rg	gw16	0.35027	0	0.028	1.0326	0.887	0.859	0.33921
ANXA2	pfc	rg	gw16	0.34917	0	0.084	1.19535	0.514	0.43	0.29211
RPL5	pfc	rg	gw16	0.34794	0	0.001	1.001	1	0.999	0.3476
DBI	pfc	rg	gw16	0.34615	0	0.001	1.00101	0.99	0.989	0.34581
ATP5O	pfc	rg	gw16	0.34188	0	0.004	1.00464	0.866	0.862	0.3403
RTN1	pfc	rg	gw16	0.34132	0	0.051	1.06755	0.806	0.755	0.31972
RPS13	pfc	rg	gw16	0.34011	0	-0.001	0.999	0.998	0.999	0.34045
RPL8	pfc	rg	gw16	0.33279	0	0	1	1	1	0.33279
SEPW1	pfc	rg	gw16	0.33178	0	0.004	1.00442	0.908	0.904	0.33032
HMGN3	pfc	rg	gw16	0.3298	0	0.001	1.00101	0.987	0.986	0.32946
MYL6	pfc	rg	gw16	0.3247	0	0.001	1.00101	0.996	0.995	0.32438
MT-ND2	pfc	rg	gw16	0.32109	0	0.002	1.00227	0.882	0.88	0.32037
STK17A	pfc	rg	gw16	0.31806	0	0.034	1.07143	0.51	0.476	0.29686
CLU	pfc	rg	gw16	0.31761	0	-0.002	0.99787	0.939	0.941	0.31828
NDUFB11	pfc	rg	gw16	0.31399	0	-0.001	0.99888	0.894	0.895	0.31434
HN1	pfc	rg	gw16	0.31209	0	-0.012	0.98727	0.931	0.943	0.31611
COX5A	pfc	rg	gw16	0.30936	0	0	1	0.74	0.74	0.30936
RPS7	pfc	rg	gw16	0.30838	0	0.001	1.001	0.999	0.998	0.30808
MT-ND4	pfc	rg	gw16	0.30751	0	0.004	1.00405	0.991	0.987	0.30626
NDUFC2	pfc	rg	gw16	0.30263	0	-0.003	0.99635	0.819	0.822	0.30374
ZC3H15	pfc	rg	gw16	0.30186	0	-0.008	0.98764	0.639	0.647	0.30563
NACA	pfc	rg	gw16	0.29814	0	0	1	0.999	0.999	0.29814
SEC61B	pfc	rg	gw16	0.2981	0	-0.003	0.99649	0.852	0.855	0.29915
SRP14	pfc	rg	gw16	0.29705	0	0	1	0.993	0.993	0.29705
FAU	pfc	rg	gw16	0.29537	0	-0.002	0.99799	0.992	0.994	0.29597
MT-ND5	pfc	rg	gw16	0.29248	0	0.007	1.00794	0.889	0.882	0.29018
HNRNPDL	pfc	rg	gw16	0.29058	0	-0.001	0.99894	0.942	0.943	0.29089
PRDX1	pfc	rg	gw16	0.28436	0	-0.014	0.98548	0.95	0.964	0.28855
SF3B6	pfc	rg	gw16	0.28239	0	-0.016	0.98161	0.854	0.87	0.28768
SERF2	pfc	rg	gw16	0.28071	0	-0.004	0.99593	0.978	0.982	0.28185
RPL39	pfc	rg	gw16	0.27902	0	-0.002	0.998	0.997	0.999	0.27958
RPS26	pfc	rg	gw16	0.27467	0	-0.003	0.99692	0.971	0.974	0.27552
RPL12	pfc	rg	gw16	0.27195	0	0.001	1.001	0.998	0.997	0.27167
COX7A2	pfc	rg	gw16	0.26768	0	-0.01	0.98824	0.84	0.85	0.27086
DYNLT1	pfc	rg	gw16	0.26765	0	-0.021	0.97635	0.867	0.888	0.27413
TBCB	pfc	rg	gw16	0.26546	0	-0.018	0.97842	0.816	0.834	0.27132
SKP1	pfc	rg	gw16	0.26447	0	-0.004	0.99591	0.973	0.977	0.26555
H2AFZ	pfc	rg	gw16	0.26379	0	-0.009	0.99064	0.953	0.962	0.26628
MT-ND4L	pfc	rg	gw16	0.26222	0	0.001	1.00147	0.682	0.681	0.26184
GSTM3	pfc	rg	gw16	0.25817	0	0.011	1.02161	0.52	0.509	0.25271
RPL30	pfc	rg	gw16	0.25643	0	0.001	1.001	1	0.999	0.25618
STMN1	pfc	rg	gw16	0.25606	0	-0.001	0.99899	0.987	0.988	0.25632
RHEB	pfc	rg	gw16	0.25539	0	-0.014	0.98482	0.908	0.922	0.25933
ATP5C1	pfc	rg	gw16	0.25462	0	-0.022	0.97536	0.871	0.893	0.26105
MRPS6	pfc	rg	gw16	0.25263	0	-0.01	0.98592	0.7	0.71	0.25624
FIS1	pfc	rg	gw16	0.25236	0	-0.022	0.97403	0.825	0.847	0.25909
ATP5J	pfc	rg	gw16	0.24915	0	-0.033	0.96358	0.873	0.906	0.25857
SOX4	pfc	rg	gw16	0.24545	0	-0.03	0.96591	0.85	0.88	0.25411
GABARAPL2	pfc	rg	gw16	0.24534	0	-0.02	0.97879	0.923	0.943	0.25066
TPM1	pfc	rg	gw16	0.23568	0	-0.07	0.875	0.49	0.56	0.26934
CLU	pfc	rg	gw17	1.23492	0	0.197	1.34142	0.774	0.577	0.9206
AC090498.1	pfc	rg	gw17	0.9901	0	0.096	1.11215	0.952	0.856	0.89026
PEA15	pfc	rg	gw17	0.81712	3.4e-4	0.146	1.26838	0.69	0.544	0.64422
DBI	pfc	rg	gw17	0.79932	0	0.08	1.09558	0.917	0.837	0.72959
CREB5	pfc	rg	gw17	0.78564	0.01274	0.037	1.07789	0.512	0.475	0.72887
HSPB1	pfc	rg	gw17	0.78499	0.00764	0.066	1.11935	0.619	0.553	0.70129
PTN	pfc	rg	gw17	0.77683	0	0.019	1.01985	0.976	0.957	0.76171
H3F3B	pfc	rg	gw17	0.75234	0	0	1	0.988	0.988	0.75234
FABP7	pfc	rg	gw17	0.73111	0.03554	-0.007	0.99288	0.976	0.983	0.73636
HMGN3	pfc	rg	gw17	0.69684	3e-5	0.046	1.06021	0.81	0.764	0.65727
MYL6	pfc	rg	gw17	0.64158	1e-5	0.005	1.00541	0.929	0.924	0.63812
PFN2	pfc	rg	gw17	0.57155	0.02465	0.018	1.03557	0.524	0.506	0.55191
NDUFB2	pfc	rg	gw17	0.56886	9.7e-4	-0.02	0.97481	0.774	0.794	0.58356
SSBP1	pfc	rg	gw17	0.5609	0.01818	0.032	1.06349	0.536	0.504	0.52741
TPI1	pfc	rg	gw17	0.54614	0.00559	0.039	1.05394	0.762	0.723	0.51819
CCDC167	pfc	rg	gw17	0.53065	0.00823	0.011	1.01964	0.571	0.56	0.52043
SRI	pfc	rg	gw17	0.51344	8e-5	-0.04	0.93333	0.56	0.6	0.55011
ENO1	pfc	rg	gw17	0.47553	4e-5	-0.106	0.81404	0.464	0.57	0.58417
PTPRZ1	pfc	rg	gw17	0.47055	0	-0.151	0.82782	0.726	0.877	0.56842
SPCS2	pfc	rg	gw17	0.46045	4.9e-4	-0.042	0.94531	0.726	0.768	0.48709
PRDX5	pfc	rg	gw17	0.455	0.01005	-0.039	0.9373	0.583	0.622	0.48544
SEPT7	pfc	rg	gw17	0.44023	0.00166	-0.049	0.93958	0.762	0.811	0.46854
TRMT112	pfc	rg	gw17	0.4193	0.04739	-0.044	0.91912	0.5	0.544	0.4562
WBP5	pfc	rg	gw17	0.40464	0.00106	-0.033	0.95365	0.679	0.712	0.42431
VIM	pfc	rg	gw17	0.401	0.01391	-0.056	0.93349	0.786	0.842	0.42957
MALAT1	pfc	rg	gw17	0.40023	0.01102	0	1	1	1	0.40023
HSPE1	pfc	rg	gw17	0.39845	0	-0.114	0.83644	0.583	0.697	0.47637
ATP5G3	pfc	rg	gw17	0.35878	0.01922	-0.143	0.75	0.429	0.572	0.47838
SLIRP	pfc	rg	gw17	0.3502	0.00542	-0.069	0.91051	0.702	0.771	0.38462
TMSB15A	pfc	rg	gw17	0.34786	0.01946	-0.077	0.90822	0.762	0.839	0.38301
SAT1	pfc	rg	gw17	0.33462	0.03421	-0.117	0.78571	0.429	0.546	0.42588
POLR2K	pfc	rg	gw17	0.33055	0.01413	-0.089	0.82411	0.417	0.506	0.4011
GPM6B	pfc	rg	gw17	0.32849	0.01921	-0.077	0.86372	0.488	0.565	0.38033
NDUFA6	pfc	rg	gw17	0.32678	0.01893	-0.067	0.88183	0.5	0.567	0.37056
DSTN	pfc	rg	gw17	0.32485	0.0196	-0.073	0.90724	0.714	0.787	0.35806
ZFP36L1	pfc	rg	gw17	0.32178	0.04399	-0.089	0.8489	0.5	0.589	0.37905
RHEB	pfc	rg	gw17	0.31529	0.00469	-0.125	0.78336	0.452	0.577	0.40248
PSMA4	pfc	rg	gw17	0.30938	0.00639	-0.066	0.90996	0.667	0.733	0.34
DDX5	pfc	rg	gw17	0.30461	0.00103	-0.133	0.81731	0.595	0.728	0.3727
POLR2F	pfc	rg	gw17	0.27968	0.00392	-0.103	0.82211	0.476	0.579	0.3402
EZR	pfc	rg	gw17	0.27264	7e-4	-0.141	0.74731	0.417	0.558	0.36482
SELK	pfc	rg	gw17	0.26388	1.1e-4	-0.155	0.72321	0.405	0.56	0.36487000000000003
TUBB2A	pfc	rg	gw17	0.25997	0	-0.284	0.68126	0.607	0.891	0.3816
VBP1	pfc	rg	gw17	0.25836	3.7e-4	-0.141	0.72989	0.381	0.522	0.35398
SRSF5	pfc	rg	gw17	0.25695	0.01985	-0.117	0.77586	0.405	0.522	0.33118
COPE	pfc	rg	gw17	0.25475	0.00442	-0.118	0.79298	0.452	0.57	0.32125
LSM4	pfc	rg	gw17	0.25172	0.00642	-0.111	0.77976	0.393	0.504	0.32282
COX8A	pfc	rg	gw17	0.2502	0.00282	-0.148	0.77576	0.512	0.66	0.32252
NOP10	pfc	rg	gw17	0.24578	0.01451	-0.123	0.78153	0.44	0.563	0.31448
PSMB3	pfc	rg	gw17	0.24564	0.01208	-0.127	0.76654	0.417	0.544	0.32045
WDR83OS	pfc	rg	gw17	0.2417	0.02703	-0.108	0.81507	0.476	0.584	0.29654
MYEOV2	pfc	rg	gw17	0.23921	0.0119	-0.128	0.83136	0.631	0.759	0.28774
MINOS1	pfc	rg	gw17	0.23295	4.9e-4	-0.134	0.74573	0.393	0.527	0.31238
CSTB	pfc	rg	gw17	0.23181	0	-0.17	0.69147	0.381	0.551	0.33525
EIF3J	pfc	rg	gw17	0.21882	0.00427	-0.136	0.77778	0.476	0.612	0.28134
SRSF11	pfc	rg	gw17	0.2157	0.03287	-0.141	0.77147	0.476	0.617	0.2796
PFDN4	pfc	rg	gw17	0.2106	0.01477	-0.146	0.76527	0.476	0.622	0.27519
SUB1	pfc	rg	gw17	0.20225	0.00595	-0.138	0.80536	0.571	0.709	0.25113
ATP5G1	pfc	rg	gw17	0.20161	0.00233	-0.138	0.78769	0.512	0.65	0.25595
PET100	pfc	rg	gw17	0.18676	2.4e-4	-0.195	0.74543	0.571	0.766	0.25054
CSRP2	pfc	rg	gw17	0.18287	0.00245	-0.181	0.72945	0.488	0.669	0.2507
FIS1	pfc	rg	gw17	0.17642	0.00588	-0.173	0.66602	0.345	0.518	0.26489
TMEM59	pfc	rg	gw17	0.17468	7.8e-4	-0.186	0.68528	0.405	0.591	0.2549
BZW1	pfc	rg	gw17	0.17217	6e-4	-0.189	0.63793	0.333	0.522	0.26988
C4orf48	pfc	rg	gw18	104.06069	0	0.743	75.3	0.753	0.01	1.38195
PCSK1N	pfc	rg	gw18	76.27899	0	0.676	62.45455	0.687	0.011	1.22135
ATP5D	pfc	rg	gw18	34.94157	0	0.802	20.56098	0.843	0.041	1.69941
CENPV	pfc	rg	gw18	8.92634	0	0.612	8.2	0.697	0.085	1.08858
RCN2	pfc	rg	gw18	5.4034	0	0.562	4.87586	0.707	0.145	1.10819
YBX1	pfc	rg	gw18	3.47825	0	0.404	1.68359	0.995	0.591	2.06597
S100A13	pfc	rg	gw18	3.43036	0	0.382	4.10569	0.505	0.123	0.83551
PRELID1	pfc	rg	gw18	3.16731	0	0.476	3.49215	0.667	0.191	0.90698
MARCKSL1	pfc	rg	gw18	2.86546	0	0.436	1.79417	0.985	0.549	1.59709
FGFBP3	pfc	rg	gw18	2.85486	0	0.435	2.9163	0.662	0.227	0.97893
JUN	pfc	rg	gw18	2.53829	0	0.311	1.47193	0.97	0.659	1.72447
IER2	pfc	rg	gw18	2.33888	0	0.401	1.9733	0.813	0.412	1.18526
GLTSCR2	pfc	rg	gw18	2.31557	0	0.415	2.39731	0.712	0.297	0.96591
BTG1	pfc	rg	gw18	2.29078	0	0.476	2.47826	0.798	0.322	0.92435
PNRC1	pfc	rg	gw18	2.20084	0	0.379	2.70721	0.601	0.222	0.81296
TSPAN5	pfc	rg	gw18	1.95831	0	0.413	2.72803	0.652	0.239	0.71785
METTL9	pfc	rg	gw18	1.82308	0	0.403	2.4708	0.677	0.274	0.73785
DUT	pfc	rg	gw18	1.82302	0	0.365	2.51452	0.606	0.241	0.725
C9orf16	pfc	rg	gw18	1.76734	0	0.355	2.81122	0.551	0.196	0.62867
MZT2A	pfc	rg	gw18	1.75526	0	0.397	2.36897	0.687	0.29	0.74094
LY6H	pfc	rg	gw18	1.73995	0	0.38	2.39706	0.652	0.272	0.72587
ZNF428	pfc	rg	gw18	1.65067	0	0.465	2.19537	0.854	0.389	0.75189
