Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
dplyr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.5	NA	R (>= 3.3.0)	"ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5)"	NA	"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
dqrng	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.1	NA	R (>= 3.1.0)	Rcpp (>= 0.12.16)	Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)	testthat, knitr, rmarkdown	NA	AGPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.0
DT	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.13	NA	NA	"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises"	NA	knitr (>= 1.8), rmarkdown, shiny (>= 1.2.0)	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.1
dynamicTreeCut	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.63-1	NA	R (>= 2.3.0), stats	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
e1071	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7-3	NA	NA	graphics, grDevices, class, stats, methods, utils	NA	"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam"	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.2
easyalluvial	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.3	NA	R(>= 2.10)	"purrr , tidyr (>= 1.0.0) , dplyr , forcats , ggalluvial (>=
0.9.1) , ggplot2 (>= 3.2.0) , ggridges , RColorBrewer , recipes
(>= 0.1.5) , rlang , stringr , magrittr , tibble , caret ,
progress , gridExtra , randomForest , e1071"	NA	"testthat, covr, ISLR, nycflights13, vdiffr (>= 0.3.1),
parcats"	NA	CC0	NA	NA	NA	NA	no	4.0.2
egg	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.5	NA	gridExtra (>= 2.3), ggplot2	gtable, grid, grDevices, utils	NA	knitr, png	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
ellipsis	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.1	NA	R (>= 3.2)	rlang (>= 0.3.0)	NA	covr, testthat	NA	GPL-3	NA	NA	NA	NA	yes	4.0.0
enrichplot	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.10.0	NA	R (>= 3.5.0)	"cowplot, DOSE, ggplot2, ggraph, graphics, grid, igraph,
methods, plyr, purrr, RColorBrewer, reshape2, stats, utils,
scatterpie, shadowtext, GOSemSim"	NA	"clusterProfiler, dplyr, europepmc, ggupset, knitr,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggnewscale,
magrittr, ggrepel"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
europepmc	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4	NA	R (>= 3.00)	"httr, jsonlite, plyr, dplyr, progress, urltools, purrr, xml2,
tibble, tidyr, rlang"	NA	testthat, knitr, rmarkdown, ggplot2	NA	GPL-3	NA	NA	NA	NA	no	4.0.3
evaluate	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.14	NA	R (>= 3.0.2)	methods	NA	testthat, lattice, ggplot2	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
expm	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.999-5	NA	Matrix	methods	NA	RColorBrewer, sfsmisc, Rmpfr	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
extrafont	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.17	NA	R (>= 2.15)	extrafontdb, grDevices, utils, Rttf2pt1	NA	fontcm	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
extrafontdb	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0	NA	R (>= 2.14)	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	NA	4.0.2
fansi	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.2	NA	R (>= 3.1.0)	NA	NA	unitizer, knitr, rmarkdown	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
farver	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.1.0	NA	NA	NA	NA	testthat (>= 2.1.0), covr	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
fastmap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	NA	NA	testthat (>= 2.1.1)	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
fastmatch	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1-0	NA	NA	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	yes	4.0.3
FD	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-12	NA	ade4, ape, geometry, vegan	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	yes	4.0.3
fgsea	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.14.0	NA	R (>= 3.3)	"Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils"	Rcpp, BH	"testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery"	NA	MIT + file LICENCE	NA	NA	NA	NA	yes	4.0.3
fitdistrplus	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1-3	NA	R (>= 3.2.0), MASS, grDevices, survival, methods	stats	NA	"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc"	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.4
flexdashboard	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.2	NA	R (>= 3.0.2)	"tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.10.3), shiny (>= 0.13)"	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
flow	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.1	NA	NA	nomnoml, utils, htmlwidgets, rstudioapi, webshot, Rcpp	Rcpp	testthat (>= 2.1.0), covr, knitr, rmarkdown	NA	GPL-3	NA	NA	NA	NA	yes	4.0.2
FNN	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.3	NA	R (>= 3.0.0)	NA	NA	chemometrics, mvtnorm	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
forcats	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.0	NA	R (>= 3.2)	ellipsis, magrittr, rlang, tibble	NA	covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
foreach	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5.0	NA	R (>= 2.5.0)	codetools, utils, iterators	NA	randomForest, doMC, doParallel, testthat, knitr, rmarkdown	NA	Apache License (== 2.0)	NA	NA	NA	NA	no	4.0.2
formatR	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7	NA	R (>= 3.0.2)	NA	NA	codetools, shiny, testit, rmarkdown, knitr	NA	GPL	NA	NA	NA	NA	no	4.0.3
Formula	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2-3	NA	R (>= 2.0.0), stats	NA	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	no	4.0.0
fs	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5.0	NA	R (>= 3.1)	methods	NA	"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)"	NA	GPL-3	NA	NA	NA	NA	yes	4.0.3
futile.logger	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.3	NA	R (>= 3.0.0)	utils, lambda.r (>= 1.1.0), futile.options	NA	testthat, jsonlite	NA	LGPL-3	NA	NA	NA	NA	no	4.0.3
futile.options	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.1	NA	R (>= 2.8.0)	NA	NA	NA	NA	LGPL-3	NA	NA	NA	NA	no	4.0.3
future	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.21.0	NA	NA	"digest, globals (>= 0.13.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.21.0), tools, utils"	NA	RhpcBLASctl, R.rsp, markdown	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
future.apply	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.7.0	NA	R (>= 3.2.0), future (>= 1.17.0)	globals (>= 0.12.5), parallel, utils	NA	datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.4
fuzzyjoin	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.6	NA	R (>= 2.10)	"stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble"	NA	"testthat, knitr, ggplot2, qdapDictionaries, readr, rvest,
rmarkdown, maps, IRanges, covr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.2
gclus	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.2	NA	R (>= 2.10), cluster	NA	NA	knitr, rmarkdown	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
gdata	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.18.0	NA	R (>= 2.3.0)	gtools, stats, methods, utils	NA	RUnit	NA	GPL-2	NA	NA	NA	NA	no	4.0.0
gdtools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.2	NA	NA	Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)	Rcpp	htmltools, testthat, fontquiver (>= 0.2.0), curl	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.3
genefilter	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.70.0	NA	NA	"BiocGenerics (>= 0.31.2), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival"	NA	"class, hgu95av2.db, tkWidgets, ALL, ROC, DESeq, pasilla,
RColorBrewer, BiocStyle, knitr"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
geneplotter	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.66.0	NA	R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate	"AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils"	NA	Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
generics	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.0	NA	R (>= 3.1)	methods	NA	covr, pkgload, testthat, tibble	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
GeneTonic	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.4	NA	R (>= 4.0.0)	"AnnotationDbi, bs4Dash, colorspace, ComplexHeatmap,
dendextend, DESeq2, dplyr, DT, dynamicTreeCut, expm, ggforce,
ggplot2, ggrepel, GO.db, graphics, grDevices, grid, igraph,
matrixStats, methods, plotly, RColorBrewer, rintrojs, rlang,
rmarkdown, S4Vectors, scales, shiny, shinycssloaders,
shinyWidgets, stats, SummarizedExperiment, tidyr, tools, utils,
viridis, visNetwork"	NA	"knitr, BiocStyle, htmltools, clusterProfiler, macrophage,
org.Hs.eg.db, magrittr, testthat (>= 2.1.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
GenomeInfoDb	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.24.2	NA	"R (>= 3.1), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)"	stats, stats4, utils, RCurl, GenomeInfoDbData	NA	"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr"	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
GenomeInfoDbData	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.3	NA	R (>= 3.5.0)	NA	NA	NA	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
GenomicRanges	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.40.0	NA	"R (>= 2.10), methods, stats4, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.25.14), IRanges (>= 2.21.6), GenomeInfoDb (>=
1.15.2)"	utils, stats, XVector (>= 0.27.2)	S4Vectors, IRanges	"Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGG.db, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
BiocStyle"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
geometry	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.5	NA	R (>= 3.0.0)	magic, Rcpp, lpSolve, linprog	Rcpp, RcppProgress	spelling, testthat, rgl, R.matlab, tripack	NA	GPL (>= 3)	NA	NA	NA	NA	yes	4.0.3
geosphere	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5-10	NA	R (>= 3.0.0)	sp	NA	methods, raster	NA	GPL (>= 3)	NA	NA	NA	NA	yes	4.0.2
GetoptLong	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.4	NA	R (>= 3.3.0)	rjson, GlobalOptions (>= 0.1.0), methods, crayon	NA	testthat (>= 1.0.0), knitr, markdown, rmarkdown	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
ggalluvial	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.12.2	NA	R (>= 3.5), ggplot2 (>= 2.2)	"stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect"	NA	"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, ggfittext (>= 0.6), vdiffr (>= 0.2)"	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
ggdendro	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.22	NA	NA	MASS, ggplot2(>= 0.9.2)	NA	"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown"	NA	GPL-2 | GPL-3	NA	NA	NA	NA	no	4.0.2
ggfittext	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9.0	NA	R (>= 3.6)	"grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)"	NA	knitr, rmarkdown, testthat, vdiffr, spelling	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
ggforce	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.1	NA	ggplot2 (>= 3.0.0), R (>= 3.3.0)	"Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils"	Rcpp, RcppEigen	sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6)	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
ggmap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.0.0	NA	R (>= 3.1.0), ggplot2 (>= 2.2.0)	"RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr"	NA	MASS, hexbin, testthat	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
ggplot2	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.3.3	NA	R (>= 3.2)	"digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)"	NA	"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>= 0.7-3),
svglite (>= 1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)"	sp	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
ggplotify	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.5	NA	R (>= 3.4.0)	ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck	NA	colorspace, cowplot, ggimage, knitr, lattice, prettydoc, vcd	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
ggraph	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.3	NA	R (>= 2.10), ggplot2 (>= 3.0.0)	"Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0)"	Rcpp	"network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
ggrepel	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.9.1	NA	R (>= 3.0.0), ggplot2 (>= 2.2.0)	grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)	Rcpp	"knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr"	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.4
ggridges	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.3	NA	R (>= 3.2)	"ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)"	NA	"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr"	NA	GPL-2 | file LICENSE	NA	NA	NA	NA	no	4.0.4
ggSankeyGrad	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.1	NA	NA	dplyr, tidyr, magrittr, ggplot2, bezier	NA	NA	NA	GPL (>= 3)	NA	NA	NA	NA	no	4.0.2
ggsci	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.9	NA	R (>= 3.0.2)	grDevices, scales, ggplot2 (>= 2.0.0)	NA	knitr, rmarkdown, gridExtra, reshape2	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.2
ggsignif	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.6.0	NA	NA	ggplot2 (>= 2.0.0)	NA	testthat, knitr, rmarkdown	NA	GPL-3	NA	NA	NA	NA	no	4.0.2
ggthemes	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.2.0	NA	R (>= 3.3.0)	"ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble"	NA	"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr"	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
gh	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	cli, ini, jsonlite, httr (>= 1.2)	NA	covr, keyring, pingr, testthat, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
git2r	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.27.1	NA	R (>= 3.1)	graphics, utils	NA	getPass	NA	GPL-2	NA	NA	NA	NA	yes	4.0.1
GlobalOptions	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.2	NA	R (>= 3.3.0), methods	utils	NA	testthat (>= 1.0.0), knitr, markdown, GetoptLong	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
globals	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.14.0	NA	R (>= 3.1.2)	codetools	NA	NA	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
glue	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.2	NA	R (>= 3.2)	methods	NA	"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
gmodels	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.18.1	NA	R (>= 1.9.0)	MASS, gdata	NA	gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)	NA	GPL-2	NA	NA	NA	NA	no	4.0.1
GO.db	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.12.1	NA	R (>= 2.7.0), methods, AnnotationDbi (>= 1.51.3)	methods, AnnotationDbi	NA	DBI	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
goftest	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2-2	NA	R (>= 3.3)	stats	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
googleVis	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.6.6	NA	R (>= 3.0.2)	methods, jsonlite, utils	NA	"shiny (>= 0.4.0), httpuv (>= 1.2.0), knitr (>= 1.5),
knitcitations, rmarkdown, markdown, data.table"	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.2
GOSemSim	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.14.2	NA	R (>= 3.5.0)	AnnotationDbi, GO.db, methods, utils	Rcpp	"AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
org.Hs.eg.db, prettydoc, testthat"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
gower	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.2	NA	NA	NA	NA	tinytest (>= 0.9.3),	NA	GPL-3	NA	NA	NA	NA	yes	4.0.2
gplots	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.1.1	NA	R (>= 3.0)	gtools, stats, caTools, KernSmooth	NA	grid, MASS, knitr	NA	GPL-2	NA	NA	NA	NA	no	4.0.4
graph	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.68.0	NA	R (>= 2.10), methods, BiocGenerics (>= 0.13.11)	stats, stats4, utils	NA	SparseM (>= 0.36), XML, RBGL, RUnit, cluster	Rgraphviz	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
graphlayouts	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.7.1	NA	R (>= 3.2.0)	igraph, Rcpp	Rcpp, RcppArmadillo	oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
gridBase	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4-7	NA	R (>= 2.3.0)	graphics, grid	NA	lattice	NA	GPL	NA	NA	NA	NA	no	4.0.3
gridExtra	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.3	NA	NA	gtable, grid, grDevices, graphics, utils	NA	ggplot2, egg, lattice, knitr, testthat	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
gridGraphics	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5-0	NA	grid, graphics	grDevices	NA	magick (>= 1.3), pdftools (>= 1.6)	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
gt	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.2	NA	R (>= 3.2.0)	"bitops (>= 1.0.6), checkmate (>= 2.0.0), commonmark (>= 1.7),
dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2 (>= 3.3.0), glue (>=
1.3.2), htmltools (>= 0.5.0), magrittr (>= 1.5), rlang (>=
0.4.5), sass (>= 0.1.1), scales (>= 1.1.0), stringr (>= 1.3.1),
tibble (>= 3.0.0), tidyselect (>= 1.0.0)"	NA	"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
rmarkdown, rvest, shiny, tidyr, webshot, xml2"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
gtable	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.0	NA	R (>= 3.0)	grid	NA	covr, testthat, knitr, rmarkdown, ggplot2, profvis	NA	GPL-2	NA	NA	NA	NA	no	4.0.0
gtools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.8.2	NA	methods, stats, utils	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	yes	4.0.0
haven	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.3.1	NA	R (>= 3.2)	"forcats (>= 0.2.0), hms, methods, Rcpp (>= 0.11.4), readr (>=
0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)"	Rcpp	"covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.4.0), cli,
crayon"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
hdf5r	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.3	NA	R (>= 3.2.2), methods	R6, bit64, utils	NA	testthat, knitr, rmarkdown, nycflights13, reshape2, formatR,	NA	Apache License 2.0 | file LICENSE	NA	NA	NA	NA	yes	4.0.4
heatmaply	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	R (>= 3.0.0), plotly (>= 4.7.1), viridis	"ggplot2 (>= 2.2.0), dendextend (>= 1.12.0), magrittr (>=
1.0.1), reshape2, scales, seriation, utils, stats, grDevices,
methods, colorspace, RColorBrewer, htmlwidgets, webshot,
assertthat, egg"	NA	knitr, covr, gplots, tidyselect, rmarkdown, testthat	NA	GPL-2 | GPL-3	NA	NA	NA	NA	no	4.0.2
here	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.0	NA	NA	rprojroot (>= 2.0.1)	NA	"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rmarkdown, testthat, uuid, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
